,Date,Type,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2021-07-17,Commercial,4.0,2.0,19.0,5.0
1,2021-07-17,Duplex,13.0,1.0,176.0,69.0
2,2021-07-17,Empty Lot,8.0,2.0,81.0,1.0
3,2021-07-17,Mixed-Use,0.0,0.0,9.0,2.0
4,2021-07-17,Multi-Unit,4.0,0.0,57.0,44.0
5,2021-07-17,Single-Family,36.0,5.0,260.0,82.0
6,2021-07-17,Residential,53.0,6.0,493.0,195.0
7,2021-07-17,Mixed-Use/Other,0.0,0.0,9.0,2.0
8,2021-07-17,Residential,53.0,6.0,493.0,195.0
9,2021-07-17,Mixed-Use/Other,0.0,0.0,9.0,2.0
10,2021-07-17,Residential,53.0,6.0,493.0,195.0
11,2021-07-17,Mixed-Use/Other,0.0,0.0,9.0,2.0
12,2021-07-17,Residential,53.0,6.0,493.0,195.0
13,2021-07-17,Mixed-Use/Other,0.0,0.0,9.0,2.0
14,2021-07-17,Residential,53.0,6.0,493.0,195.0
15,2021-07-17,Mixed-Use/Other,0.0,0.0,9.0,2.0
16,2021-07-17,Residential,53.0,6.0,493.0,195.0
17,2021-07-17,Mixed-Use/Other,0.0,0.0,9.0,2.0
