,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2022-09-13,Commercial,5.0,5.0,7.0,10.0
1,2022-09-13,Duplex,35.0,79.0,61.0,77.0
2,2022-09-13,Empty Lot,23.0,66.0,11.0,9.0
3,2022-09-13,Mixed-Use,0.0,5.0,1.0,5.0
4,2022-09-13,Multi-Unit,11.0,26.0,23.0,40.0
5,2022-09-13,Single-Family,52.0,122.0,79.0,86.0
