,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2023-04-22,Commercial,2.0,8.0,7.0,7.0
1,2023-04-22,Duplex,14.0,69.0,70.0,54.0
2,2023-04-22,Empty Lot,46.0,62.0,7.0,1.0
3,2023-04-22,Mixed-Use,0.0,5.0,1.0,5.0
4,2023-04-22,Multi-Unit,3.0,29.0,31.0,27.0
5,2023-04-22,Single-Family,21.0,124.0,83.0,68.0
