,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-12-22,Commercial,6.0,10.0,5.0,8.0
1,2021-12-22,Duplex,50.0,82.0,54.0,80.0
2,2021-12-22,Empty Lot,30.0,55.0,11.0,2.0
3,2021-12-22,Mixed-Use,3.0,3.0,3.0,6.0
4,2021-12-22,Multi-Unit,13.0,23.0,33.0,37.0
5,2021-12-22,Single-Family,89.0,135.0,77.0,81.0
6,2021-12-22,Residential,152.0,240.0,164.0,198.0
7,2021-12-22,Mixed-Use/Other,3.0,3.0,3.0,6.0
